product_category_final,item_revenue,share,cum_share,rank
health_beauty,1432213.38,0.0913175821900932,0.0913175821900932,1
watches_gifts,1294824.43,0.08255769563349952,0.17387527782359272,2
bed_bath_table,1239779.55,0.07904804726424339,0.2529233250878361,3
sports_leisure,1144753.87,0.07298923265969788,0.32591255774753397,4
computers_accessories,1049201.49,0.06689683578926156,0.39280939353679556,5
furniture_decor,892437.53,0.056901603234078696,0.4497109967708742,6
housewares,770492.6,0.0491264236948817,0.4988374204657559,7
cool_stuff,702849.36,0.04481350690848483,0.5436509273742407,8
auto,676854.18,0.04315606045578079,0.5868069878300215,9
garden_tools,578060.01,0.036856967831134985,0.6236639556611565,10
toys,552191.76,0.03520761440483975,0.6588715700659963,11
baby,476802.45,0.03040081004990528,0.6892723801159015,12
perfumery,445265.27,0.028390007004137224,0.7176623871200387,13
telephony,392924.23,0.025052754825893392,0.7427151419459321,14
office_furniture,340485.47,0.021709272043846928,0.7644244139897791,15
stationery,276152.18,0.017607396876939813,0.7820318108667189,16
pet_shop,252401.1,0.016093033702924864,0.7981248445696438,17
computers,232799.43,0.014843235917005503,0.8129680804866494,18
unknown,206428.37,0.013161823445499422,0.8261299039321488,19
musical_instruments,206021.32,0.013135870034960499,0.8392657739671093,20
small_appliances,203731.5,0.01298987166001827,0.8522556456271276,21
electronics,203296.98,0.012962166768856562,0.8652178123959842,22
fashion_bags_accessories,182412.16,0.011630555646165263,0.8768483680421494,23
consoles_games,170550.18,0.01087423864151108,0.8877226066836604,24
luggage_accessories,170504.09,0.010871299954146532,0.8985939066378069,25
construction_tools_construction,165179.69,0.010531817484981965,0.9091257241227889,26
home_appliances_2,121055.52,0.007718470970550822,0.9168441950933397,27
home_construction,96833.62,0.006174088426065572,0.9230182835194053,28
home_appliances,94771.3,0.006042595396652405,0.9290608789160577,29
furniture_living_room,86557.3,0.0055188727233525465,0.9345797516394102,30
agro_industry_and_commerce,78374.07,0.004997111937885344,0.9395768635772955,31
home_confort,67073.27,0.004276575635666324,0.9438534392129618,32
fixed_telephony,61639.6,0.003930126137464565,0.9477835653504264,33
air_conditioning,59531.66,0.003795724387774317,0.9515792897382007,34
kitchen_dining_laundry_garden_furniture,57905.76,0.0036920573930679323,0.9552713471312686,35
audio,56188.23,0.0035825480915007662,0.9588538952227693,36
books_general_interest,54514.15,0.003475809151530249,0.9623297043742995,37
small_appliances_home_oven_and_coffee,50193.57,0.0032003300052183543,0.9655300343795179,38
construction_tools_lights,47511.18,0.003029301461070216,0.9685593358405881,39
industry_commerce_and_business,47120.73,0.0030044064625567115,0.9715637423031448,40
construction_tools_safety,43420.59,0.0027684864220911963,0.974332228725236,41
food,36400.55,0.00232089035251828,0.9766531190777542,42
market_place,32115.35,0.002047667026535257,0.9787007861042895,43
costruction_tools_garden,30781.89,0.001962645936209176,0.9806634320404987,44
fashion_shoes,28207.46,0.0017985008958118843,0.9824619329363106,45
art,28196.21,0.0017977835985055022,0.984259716534816,46
drinks,28100.75,0.001791697091761747,0.9860514136265778,47
signaling_and_security,28017.05,0.0017863603998022634,0.9878377740263801,48
furniture_bedroom,24661.01,0.001572380092947959,0.989410154119328,49
books_technical,23079.28,0.0014715293668658327,0.9908816834861938,50
food_drink,19608.1,0.0012502077611798088,0.9921318912473736,51
costruction_tools_tools,17934.170000000002,0.001143478385173377,0.9932753696325469,52
fashion_male_clothing,12857.59,0.0008197968598725985,0.9940951664924195,53
christmas_supplies,12009.19,0.0007657030790072953,0.9948608695714267,54
fashion_underwear_beach,11457.74,0.0007305427590424539,0.9955914123304692,55
tablets_printing_image,8754.61,0.0005581918374601499,0.9961496041679294,56
cine_photo,8189.66,0.0005221707607276499,0.9966717749286571,57
music,6724.860000000001,0.00042877546344865895,0.9971005503921058,58
furniture_mattress_and_upholstery,5998.54,0.0003824654741534126,0.9974830158662592,59
dvds_blu_ray,5804.37,0.0003700852414440587,0.9978531011077033,60
books_imported,5409.7,0.0003449211767409597,0.9981980222844443,61
party_supplies,5313.150000000001,0.00033876517185818625,0.9985367874563025,62
portateis_cozinha_e_preparadores_de_alimentos,4228.05,0.0002695794556666016,0.9988063669119691,63
fashio_female_clothing,3355.76,0.00021396245412134553,0.9990203293660904,64
fashion_sport,2697.64,0.00017200088049678955,0.9991923302465872,65
la_cuisine,2388.54,0.00015229273850543503,0.9993446229850926,66
arts_and_craftmanship,2184.14,0.0001392602434454775,0.9994838832285381,67
diapers_and_hygiene,1950.26,0.0001243481106439958,0.9996082313391821,68
flowers,1598.91,0.00010194611876867255,0.9997101774579508,69
pc_gamer,1430.1,9.118283358730547e-05,0.9998013602915381,70
home_comfort_2,1170.58,7.463590052487801e-05,0.999875996192063,71
cds_dvds_musicals,954.99,6.0889933744172334e-05,0.9999368861258072,72
fashion_childrens_clothes,665.36,4.242319429106326e-05,0.9999793093200983,73
security_and_services,324.51,2.0690679901696734e-05,1.0,74
