customer_city,item_revenue,share,cum_share,rank
Sao Paulo,1854393.03,0.1408253577568546,0.1408253577568546,1
Rio De Janeiro,948119.87,0.07200162949767584,0.21282698725453042,2
Belo Horizonte,344795.59,0.026184288621239997,0.23901127587577042,3
Brasilia,294721.05,0.022381553766261636,0.26139282964203203,4
Curitiba,205581.65,0.015612175488760581,0.2770050051307926,5
Campinas,184176.3,0.013986621454155152,0.29099162658494776,6
Porto Alegre,181934.17,0.01381635077567478,0.30480797736062254,7
Salvador,172894.05,0.013129830651532112,0.31793780801215465,8
Guarulhos,138632.31,0.010527943287410422,0.32846575129956507,9
Niteroi,115590.36,0.008778103420850118,0.3372438547204152,10
Sao Bernardo Do Campo,102411.44,0.007777276684649019,0.3450211314050642,11
Santos,97713.04,0.007420473218403891,0.3524416046234681,12
Goiania,95871.16,0.007280598118708766,0.35972220274217687,13
Fortaleza,92200.79,0.007001864775783061,0.36672406751795994,14
Santo Andre,89094.43,0.006765963188986446,0.37349003070694636,15
Recife,84646.73,0.006428198252663771,0.37991822895961014,16
Florianopolis,84043.85,0.006382414651069641,0.3863006436106798,17
Osasco,80740.44,0.006131548794942275,0.39243219240562205,18
Jundiai,80398.04,0.006105546430979578,0.39853773883660165,19
Belem,78651.02,0.00597287514041267,0.4045106139770143,20
Sao Jose Dos Campos,75008.51,0.005696257527218275,0.4102068715042326,21
Sorocaba,74551.19,0.005661527967967633,0.4158683994722002,22
Juiz De Fora,63836.88,0.004847867371503977,0.4207162668437042,23
Ribeirao Preto,63644.57,0.004833263064805186,0.4255495299085094,24
Nova Iguacu,58217.83,0.004421148378441512,0.4299706782869509,25
Campo Grande,56463.78,0.004287943219245346,0.43425862150619626,26
Vitoria,52067.590000000004,0.0039540900287396066,0.43821271153493585,27
Joao Pessoa,51502.15,0.00391114967628906,0.44212386121122493,28
Mogi Das Cruzes,50295.68,0.0038195285546474885,0.44594338976587244,29
Sao Goncalo,49994.47,0.0037966542203916364,0.4497400439862641,30
Barueri,49817.11,0.0037831852388717072,0.4535232292251358,31
Sao Luis,49674.42,0.0037723491485859677,0.4572955783737218,32
Piracicaba,49073.57,0.003726719708203415,0.46102229808192524,33
Teresina,48818.57,0.003707354629901758,0.464729652711827,34
Contagem,48503.04,0.0036833928136016715,0.4684130455254287,35
