year_month_period,unique_customers,new_customers,repurchase_customers,repurchase_customer_rate,year_month,avg_ticket_non_repurchase_customers,avg_ticket_repurchase_customers
2017-01,753,753.0,25,0.033200531208499334,2017-01,182.01697707736392,111.18662921348316
2017-02,1693,1690.0,25,0.014766686355581808,2017-02,167.53074074074073,124.10091836734694
2017-03,2577,2571.0,45,0.017462165308498253,2017-03,163.6468796068796,148.52731428571428
2017-04,2345,2326.0,46,0.019616204690831557,2017-04,169.46958558558558,188.70146496815286
2017-05,3569,3541.0,97,0.027178481367329786,2017-05,161.2092452267303,147.005
2017-06,3142,3102.0,98,0.031190324633991087,2017-06,158.4230936967632,128.44614814814815
2017-07,3872,3823.0,119,0.030733471074380167,2017-07,148.09076015367728,129.5066225165563
2017-08,4191,4130.0,133,0.03173466952994512,2017-08,156.33130081300814,138.64142857142855
2017-09,4154,4076.0,146,0.03514684641309581,2017-09,170.92485331960884,155.09894428152492
2017-10,4481,4392.0,149,0.033251506360187456,2017-10,170.4432016090866,138.51420560747664
2017-11,7313,7189.0,223,0.030493641460412963,2017-11,158.7359833357276,146.15326086956523
2017-12,5551,5437.0,173,0.03116555575571969,2017-12,153.70274239274238,147.66226299694188
2018-01,7088,6952.0,231,0.032590293453724606,2018-01,153.82920178041542,145.66261744966442
2018-02,6468,6356.0,253,0.0391156462585034,2018-02,148.6985515775707,137.8641420118343
2018-03,7077,6932.0,231,0.032640949554896145,2018-03,162.10947679574343,138.86634328358207
2018-04,6863,6698.0,216,0.03147311671280781,2018-04,167.55737130673165,158.83056657223796
2018-05,6775,6588.0,237,0.034981549815498156,2018-05,167.90803119209386,163.34467787114846
2018-06,6106,5921.0,218,0.03570258761873567,2018-06,167.01952478632478,146.839593220339
2018-07,6172,6017.0,213,0.034510693454309786,2018-07,167.41457995951416,155.245737704918
2018-08,6380,6209.0,205,0.03213166144200627,2018-08,155.44487690314222,150.8374089068826
