customer_state,item_revenue,share,cum_share,rank
SP,5050703.7700000005,0.38355793719422276,0.38355793719422276,1
RJ,1750085.95,0.13290412335835558,0.5164620605525784,2
MG,1547085.78,0.11748798929051328,0.6339500498430917,3
RS,723575.03,0.0549493612277419,0.6888994110708335,4
PR,663308.3,0.05037261634368365,0.7392720274145171,5
SC,504774.07,0.038333291726260196,0.7776053191407774,6
BA,492934.29,0.03743416126832138,0.8150394804090987,7
DF,295404.74,0.022433474199140307,0.837472954608239,8
GO,281583.21,0.0213838467062042,0.8588568013144432,9
ES,267578.26,0.02032029002635793,0.8791770913408011,10
PE,250291.1,0.019007477449835258,0.8981845687906364,11
CE,217998.7,0.01655514468690018,0.9147397134775366,12
PA,173231.27,0.013155439638610093,0.9278951531161467,13
MT,152143.82,0.011554027401620731,0.9394491805177674,14
MA,116305.12,0.008832383355622248,0.9482815638733896,15
MS,115380.07,0.008762133686277353,0.9570436975596669,16
PB,112466.93,0.008540905512929546,0.9655846030725964,17
PI,84511.0,0.006417890715103443,0.9720024937876999,18
RN,81376.97,0.006179887827457389,0.9781823816151572,19
AL,78441.73,0.005956981347323439,0.9841393629624807,20
SE,56288.74,0.00427465042196722,0.9884140133844479,21
TO,48402.51,0.003675758416261807,0.9920897718007097,22
RO,45682.76,0.0034692165664150106,0.9955589883671246,23
AM,22155.84,0.0016825473585842963,0.997241535725709,24
AC,15930.97,0.001209821495966105,0.9984513572216751,25
AP,13374.81,0.0010157029134109487,0.999467060135086,26
RR,7017.77,0.0005329398649138159,0.9999999999999998,27
