year_month_period,total_revenue,total_orders,total_items,strategic_revenue,strategic_orders,strategic_items,strategic_revenue_share,strategic_orders_share,year_month
2017-01,33599.12,283,326,858.1,10,10,0.02553935936417382,0.0353356890459364,2017-01
2017-02,198909.29,1362,1565,9420.44,73,82,0.047360482760759944,0.053597650513950074,2017-02
2017-03,335886.21,2391,2724,26220.86,241,276,0.07806471126039977,0.10079464659138436,2017-03
2017-04,268687.23,1858,2072,21535.65,206,231,0.08015137154080602,0.1108719052744887,2017-04
2017-05,520141.45,3786,4201,46117.51,441,482,0.0886634010806099,0.11648177496038035,2017-05
2017-06,430779.58,3253,3640,43365.14,437,456,0.10066665648357798,0.13433753458346143,2017-06
2017-07,455000.99,3506,3933,63016.31,568,624,0.13849708327008256,0.16200798630918425,2017-07
2017-08,535529.93,4374,4900,82996.59,735,844,0.1549803014744666,0.16803840877914952,2017-08
2017-09,580268.36,4010,4496,69808.22,662,771,0.12030333689053803,0.16508728179551121,2017-09
2017-10,657565.27,4561,5215,89589.93,762,901,0.1362449236408121,0.167068625301469,2017-10
2017-11,651457.52,4735,5412,84732.69,742,906,0.1300663318768659,0.15670538542766632,2017-11
2017-12,944992.9,7293,8319,127114.0,1202,1462,0.13451317994029371,0.16481557658028245,2017-12
2018-01,851118.12,6690,7419,115426.64,1087,1257,0.13561765081443689,0.1624813153961136,2018-01
2018-02,749970.56,5915,6623,87305.2,763,889,0.11641150287285942,0.1289940828402367,2018-02
2018-03,892100.11,6901,7947,107007.34,902,1110,0.11994992355734604,0.1307056948268367,2018-03
2018-04,1111972.48,7982,8999,134413.84,1093,1287,0.12087874692726208,0.1369330994738161,2018-04
2018-05,1008601.56,7228,8166,127130.46,1051,1310,0.12604626548465778,0.14540675152185945,2018-05
2018-06,1003232.4400000001,6956,7887,108317.63,888,1070,0.1079686278884682,0.1276595744680851,2018-06
2018-07,796428.85,5935,6581,68132.86,654,744,0.08554795572762088,0.11019376579612468,2018-07
2018-08,1141791.54,8463,9385,95362.12999999999,844,971,0.0835197377622889,0.09972822876048683,2018-08
